date,name,lat,lon,address,NO2,O3,weather_date,temp_max,temp_min,precip_mm,cafe_rating,cafe_user_ratings_total,season,ndvi,nightlight,cafe_place_id,elevation_m,toilet_name,toilet_lat,toilet_lon,toilet_distance_m,geometry
2025-01-25,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.14055257252813758,2025-01-25,13.9,6.0,1.2,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-26,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",8.97112357049388e-05,0.17264078932512622,2025-01-26,10.0,4.6,5.7,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-27,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.14346369228684364,2025-01-27,11.1,3.2,1.7,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-28,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.1602507577610096,2025-01-28,9.2,5.4,2.4,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-29,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",7.623506575267814e-05,0.18709650512760884,2025-01-29,8.5,3.7,1.9,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-30,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00010197724526254129,0.15633673292707445,2025-01-30,7.9,2.7,0.3,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-31,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",8.597415003980488e-05,0.15069197797897063,2025-01-31,5.6,2.3,2.9,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-01,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",7.972161975287913e-05,0.14959343786776805,2025-02-01,3.7,0.2,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-02,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.13883025080081585,2025-02-02,3.6,-0.5,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-03,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00015438350161034808,0.15700375978804884,2025-02-03,3.7,-2.0,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-04,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00017996736243164807,0.1302125701104419,2025-02-04,4.2,-3.8,0.0,4.4,61.0,Winter,0.06810507923364639,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-05,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00011391113024043481,0.14505827966796714,2025-02-05,3.5,-2.9,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-06,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00012728612964829484,0.17209975050354284,2025-02-06,4.5,1.8,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-07,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",7.017085731666697e-05,0.18310192115916768,2025-02-07,3.2,0.0,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-08,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00012305346696474956,0.1675954273627446,2025-02-08,5.4,0.3,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-09,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.000127035479911074,0.15885412761840012,2025-02-09,3.8,-2.5,0.0,4.4,61.0,Winter,0.09015996009111404,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-10,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00017044058047974714,0.1643226028646781,2025-02-10,3.2,-1.9,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-11,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",8.866075170402723e-05,0.16695312131207857,2025-02-11,3.2,-2.9,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-12,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00013625474071759684,0.16037832561869142,2025-02-12,2.0,-4.8,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-13,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00021958045795526603,0.16339778366508484,2025-02-13,-0.4,-2.5,5.4,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-14,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",9.339620741213042e-05,0.1604477070582953,2025-02-14,1.2,-2.0,3.5,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-15,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.0001047951542877469,0.14559616284782567,2025-02-15,-0.4,-5.6,1.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-16,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",8.270203839102642e-05,0.1682854581898813,2025-02-16,-1.0,-7.7,0.2,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-17,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.0003791287604621753,0.15461853908063294,2025-02-17,-2.6,-12.1,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
